idfruta;nomefruta;kcal;kJ;Proteína;Lipídeos;Carboidratos;Fibra;Cálcio;Magnésio;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C;;;;;;;;
35;Goiaba, branca, com casca, crua;52;216;0,9;0,5;12,4;6,3;5;7;0,07;16;0,2;Tr;220;0,04;0,2;Tr;Tr;0,03;Tr;99,2;;;;;;;;
36;Goiaba, doce em pasta;269;1125;0,6;0,0;74,1;3,7;10;6;0,11;54;0,4;4;165;0,06;0,1;0,07;Tr;Tr;Tr;23,1;;;;;;;;
37;Goiaba, doce, cascão;286;1195;0,4;0,1;78,7;4,4;15;10;0,16;28;0,4;11;251;0,08;0,1;Tr;Tr;Tr;1,41;34,3;;;;;;;;
38;Goiaba, vermelha, com casca, crua;54;227;1,1;0,4;13,0;6,2;4;7;0,09;15;0,2;Tr;198;0,04;0,1;Tr;Tr;0,03;Tr;80,6;;;;;;;;
39;Graviola, crua;62;258;0,8;0,2;15,8;1,9;40;23;0,08;19;0,2;4;250;0,04;0,1;0,17;0,12;0,03;Tr;19,1;;;;;;;;
40;Graviola, polpa, congelada;38;160;0,6;0,1;9,8;1,2;6;10;0,06;17;0,1;3;170;0,06;0,1;Tr;0,09;Tr;Tr;10,5;;;;;;;;
41;Jabuticaba, crua;58;243;0,6;0,1;15,3;2,3;8;18;0,30;15;0,1;Tr;130;0,07;0,3;0,06;Tr;Tr;Tr;16,2;;;;;;;;
42;Jaca, crua;88;368;1,4;0,3;22,5;2,4;11;40;0,48;14;0,4;2;234;0,09;0,2;0,10;0,04;0,05;Tr;14,8;;;;;;;;
43;Jambo, cru;27;113;0,9;0,1;6,5;5,1;14;14;0,05;18;0,1;22;135;0,02;0,1;0,08;Tr;Tr;1,18;3,8;;;;;;;;
44;Jamelão, cru;41;172;0,5;0,1;10,6;1,8;3;2;Tr;4;0,0;1;394;0,03;0,0;0,17;Tr;0,12;Tr;27,1;;;;;;;;
45;Kiwi, cru;51;214;1,3;0,6;11,5;2,7;24;11;0,05;33;0,3;Tr;269;0,15;0,1;Tr;Tr;0,06;Tr;70,8;;;;;;;;
46;Laranja, baía, crua;45;190;1,0;0,1;11,5;1,1;35;9;0,04;24;0,1;Tr;174;0,04;0,1;0,06;0,02;Tr;Tr;56,9;;;;;;;;
47;Laranja, baía, suco;37;153;0,7;Tr;8,7;Tr;6;8;0,02;22;0,1;Tr;173;0,02;Tr;0,03;Tr;0,02;Tr;94,5;;;;;;;;
